SchoolName,SchoolYear,School List,Type of School,Application Deadline,Application Fee,Fin Aid Deadline,Term,Months students begin,Months degrees conferred,# of Credit Hours for JD,SchoolType,AppDeadline,AppFee,FinancialAidDeadline,BeginningMonth,ConfersMonth,RequiredCreditHours
Ave Maria School of Law,2023,,,,,,Semesters,,,,Private,April 15 (summer start) and June 15 (fall start),none,April 15 (summer start) and June 15 (fall start),May and August,"May, August, December, and January",90
"Baltimore, University of",2023,,,,,,Semesters,,,,Public,08/01/2023,$60,04/01/2023,August,"January, May, September",87
Barry University,2023,,,,,,Semesters,,,,Private,05/01/24,$0,05/15/24,August and January,"May, August, December",90
Baylor University,2023,,,,,,Quarters ,,,,Private,12/01/2023; 03/15/2024,0,03/01/2024,"August, February, May","November, February, April or May, July or August",126
Belmont University,2023,,,,,,Semesters,,,,Private,"May 1, 2024",$50,"August 1, 2024",August,May,90
Boston College,2023,,,,,,Semesters,,,,Private,3/31,75.00,March 31,August,"May, August, December",85
Boston University,2023,,,,,,Semesters,,,,Private,"April 1, 2024",$85,"March 1, 2024","August, September","August, January, May",85
Brigham Young University,2023,,,,,,Semesters,,,,Private,"June 30, 2023",$0,"June 30, 2023",August,"April, June, August, December",90
Brooklyn Law School,2023,,,,,,Semesters,,,,Private,Applications received by February 1 will receive priority review,,June 30,"June, August","May, June, August, December",85
"Buffalo, University at",2023,,,,,,Semesters,,,,Public,3/1/2024,$85.00,3/1/2024,"August, February","August, February, June",90
California Western School of Law,2023,,,,,,Trimesters,,,,Private,7/31/24,0,03/2/24,"January, August","April, August, December",90
"California-Berkeley, University of",2023,,,,,,Semesters,,,,Public,"February 15, 2023",$75,"March 2, 2024",August ,"May, December",85
"California-Davis, University of",2023,,,,,,Semesters,,,,Public,3/15,0,March 2 - FAFSA Deadline,August,December and May,88
"California-Irvine, University of",2023,,,,,,Semesters,,,,Public,3/15/2024,0,02/01/2024,August,"May, December",86
"California-Los Angeles, University of",2023,,,,,,Semesters,,,,Public,February 1,$75,March 2,August,"December, May",87
"California-San Francisco, University of",2023,,,,,,Semesters,,,,Public,4/15,$0,4/15,August,"May, August, December",86
Campbell University,2023,,,,,,Semesters,,,,Private,May 1,0,May 1,August,"May, August, & December ",90
Capital University Law School,2023,,,,,,Semesters,,,,Private,May 1st,$0.00,July 1st,August,"January, May, September",89
"Cardozo, Yeshiva University",2023,,,,,,Semesters,,,,Private,December 1 (Early Decision - May & Fall); March 15th (May); and April 1st (Fall),$0,April 1st,May and August,"January, May/June, and September",84
Case Western Reserve University,2023,,,,,,Semesters,,,,Private,"March 1, April 1 and November 1",$40,May 1 and December 1,January and August,"January, May and August",88
"Catholic University of America, The",2023,,,,,,Semesters,,,,Private,"June 30, 2024",$0,"May 1, 2024; July 1, 2024; September 1, 2024",August,"August, January and May",87
Chapman University,2023,,,,,,Semesters,,,,Private,April 15 Priority Application Deadline; July 15 Final Application Deadline,0,March 2,August,"January, May, September",88
Charleston School of Law,2023,,,,,,Semesters,,,,Private,"March 1, November 1",0,"July 1, December 15","August, January","December, May, August",90
"Chicago, The University of",2023,,,,,,Quarters ,,,,Private,12/1/23 and 3/1/24,90.00,3/1/2024,September,"March, June, August, December",105
"Chicago-Kent, Illinois Institute of Technology",2023,,,,,,Semesters,,,,Private,March 15,0,April 1,"May, August","May, January, August",87
"Cincinnati, University of",2023,,,,,,Semesters,,,,Public,March 15th,$35,3/15/24,August,"May, August, December",90
"City University of New York, University of",2023,,,,,,Semesters,,,,Public,May 15,$60.00,July 15th,August,"May, August, and January",86
Cleveland State University,2023,,,,,,Semesters,,,,Public,"July 1, 2024",$0,none,August,May and December,90
"Colorado, University of",2023,,,,,,Semesters,,,,Public,"April 1, 2024",65.00,no deadlines,August,"May, August, December",89
Columbia University,2023,,,,,,Semesters,,,,Private,11/15/2023,$85,03/01/2024,August / September,October / May ,84
"Connecticut, University of",2023,,,,,,Semesters,,,,Public,April 30,$60,February 15,August,"January, May, and July",86
Cooley Law School,2023,,,,,,Semesters,,,,Private,"5/1, 9/1",0,"1/1, 5/1, 9/1","September, January","September, January, May",90
Cornell University,2023,,,,,,Semesters,,,,Private,"November 1, January 8, March 1",$80,March 15,August,"May, August, December",84
Creighton University,2023,,,,,,Semesters,,,,Private,Early admission: November 30; Application deadline: July 1; Scholarship consideration: March 31,$50,May 1,"May, August","May, August, December",90
"Dayton, University of",2023,,,,,,Semesters,,,,Private,"Priority deadlines: May 1 for traditional residential JD, March 8 for online hybrid JD",0,Preferred May 1,August,"January, May and August",90
"Denver, University of",2023,,,,,,Semesters,,,,Private,6/1/2024,$65,6/1/2024,August,"May, August, December",90
DePaul University,2023,,,,,,Semesters,,,,Private,4/1/24,0,,August,"May, July, December",86
"Detroit Mercy, University of",2023,,,,,,Semesters,,,,Private,Aug 1,0,,August,"December, May, July",90
"District of Columbia, University of",2023,,,,,,Semesters,,,,Public,May 1 (1L); June 30 (transfers and visitors),$40 (1L); $50 (transfers and visitors),March 15,"August, January, or May","May, October, and January",86
Drake University,2023,,,,,,Semesters,,,,Private,April 1,0,April 1,August,Dec/May/Aug,90
Drexel University,2023,,,,,,Semesters,,,,Private,Rolling,$0,March 1,May and August,"December, May, and September",85
Duke University,2023,,,,,,Semesters,,,,Private,2/15,80,3/15,August,"May, September, December",87
Duquesne University,2023,,,,,,Semesters,,,,Private,April 1,0,May 1,August,May,87
Elon University,2023,,,,,,Trimesters,,,,Private,July 15,0,July 15,August,December,86
Emory University,2023,,,,,,Semesters,,,,Private,March 1,85,March 1,August,"May, August",90
Faulkner University,2023,,,,,,Semesters,,,,Private,7/15/2024,0,7/15/2024,August,"May, July/August, December",90
Florida A&M University,2023,,,,,,Semesters,,,,Public,April 30,$0,March 1,August,"May, December, August",90
Florida International University,2023,,,,,,Semesters,,,,Public,"June 30, 2024",$20,February 15,August,December and May,90
Florida State University,2023,,,,,,Semesters,,,,Public,"3/15/2024, 7/31/2024",30.00,3/15,August,May / September / January,88
"Florida, University of",2023,,,,,,Semesters,,,,Public,Rolling,"$30 application fee waived through Dec. 31, 2023.",Rolling,August,"August, December, May",88
Fordham University,2023,,,,,,Semesters,,,,Private,"March 15, 2024",$75.,"April 15, 2024",August,"September, February, May",83
George Mason University,2023,,,,,,Semesters,,,,Public,Priority: March 1 / Regular: April 30,0,Priority:  July 15,August,"May, July, December",89
"George Washington University, The",2023,,,,,,Semesters,,,,Private,March 1,0,March 1,"August, January","September, January, May",84
Georgetown University,2023,,,,,,Semesters,,,,Private,"March 1, 2024",$85.00,"March 31, 2024",August,"June, October, Feburary",85
Georgia State University,2023,,,,,,Semesters,,,,Public,June 1,$50.00,April 1,August,"January, June, August",90
"Georgia, University of",2023,,,,,,Semesters,,,,Public,June 1,$50,"December 15, July 1",August,"January, June, August",89
Golden Gate University,2023,,,,,,Semesters,,,,Private,"April 15, 2024",$0,,August,"December, May, July/August",88
Gonzaga University,2023,,,,,,Semesters,,,,Private,"April 15, 2024",0," February 1, 2024","May, August","January, June, August",90
Harvard University,2023,,,,,,Semesters,,,,Private,February 15,$85,April 15,"August, September","February, March, May, November",88
"Hawaii, University of",2023,,,,,,Semesters,,,,Public,May 1,$75.00,April 19,August,"August, December, May",89
Hofstra University,2023,,,,,,Semesters,,,,Private,April 15,$0,April 15,August,"May, August and December",87
"Houston, University of",2023,,,,,,Semesters,,,,Public,FT March 15; PT May 15,0,January 15,"January, June, August","May, August, December",90
Howard University,2023,,,,,,Semesters,,,,Private,"March 15, 2024",$60,Scholarships - December 15; Priority for financial aid - March 1,August,"December, May, July",88 (JD only) 71 (JD and MBA)
"Idaho, University of",2023,,,,,,Semesters,,,,Public,March 15th,$50,January 1,August ,"December, May, August",90
"Illinois, University of",2023,,,,,,Semesters,,,,Public,"March 15, 2024",$0,"March 15, 2024",August,May and December,90
"Illinois-Chicago, University of",2023,,,,,,Semesters,,,,Public,Applications are accepted on a rolling basis.,,April 5 and November 16,August and January,"December, May, and August",90
Indiana University-Bloomington,2023,,,,,,Semesters,,,,Public,June 1; May 1 for international applicants,$0,April 15,August,All months,88
Indiana University-Indianapolis,2023,,,,,,Semesters,,,,Public,May 15,0,March 1,August,"May, August, and December",90
Inter American University of Puerto Rico,2023,,,,,,Semesters,,,,Private,MARCH AND NOVEMBER,$63.00,JUNE 30,AUGUST AND JANUARRY,DECEMBER AND JUNE,92
"Iowa, University of",2023,,,,,,Semesters,,,,Public,May 1,0,,August,"May, August & December",88
"Kansas, The University of",2023,,,,,,Semesters,,,,Public,"March 1, 2024",$55,"February 15, 2024",May and August,"May, August and December",90
"Kentucky, University of",2023,,,,,,Semesters,,,,Public,"April 15, 2024",$50.00,"February 1, 2024",August,"May, August, December",90
Lewis & Clark Law School,2023,,,,,,Semesters,,,,Private,3/15,$50,2/15,August,"January, May",90
Liberty University,2023,,,,,,Semesters,,,,Private,August 1st ,Waived,,August,May,90
Lincoln Memorial University,2023,,,,,,Semesters,,,,Private,"July 1, 2024",$0,June 1,August,December and May,90
Louisiana State University,2023,,,,,,Semesters,,,,Public,June 15,$0,May 1,August,"May, August, December",94
"Louisville, University of",2023,,,,,,Semesters,,,,Public,April 1,0,June 30,August,"May, December",90
Loyola Marymount University-Los Angeles,2023,,,,,,Semesters,,,,Private,"February 1, April 15",$65,March 15,August,"January, May, July, December",87
Loyola University-Chicago,2023,,,,,,Semesters,,,,Private,May 1,0,March 1,August,"January, May, and August",86
Loyola University-New Orleans,2023,,,,,,Semesters,,,,Private,07/15/2024,-,,August,"December, May, August",90
"Maine, University of",2023,,,,,,Semesters,,,,Public,July 15,0,February 1 for priority,August,"December, May, July",90
Marquette University,2023,,,,,,Semesters,,,,Private,"April 1, 2024",$50 ,Feb 1 ,August,Every month,90
"Maryland, University of",2023,,,,,,Semesters,,,,Public,April 1,$70,March 1,August,"May, August, and December",85
"Massachusetts/Dartmouth, University of",2023,,,,,,Semesters,,,,Public,6/30/2024,50,6/30/2024,August,"January, May, August",90
"Memphis, The University of",2023,,,,,,Semesters,,,,Public,April 1,0,April 1,August,May August December,90
Mercer University,2023,,,,,,Semesters,,,,Private,6/1/24,0,5/1/24,August,May,89
"Miami, University of",2023,,,,,,Semesters,,,,Private,July 15,60,April 15,"August, January, May","December, May, July",88
Michigan State University,2023,,,,,,Semesters,,,,Public,4/30/2024,$60,4/1/24,"August, January",May,88
"Michigan, University of",2023,,,,,,Semesters,,,,Public,February 29,$75,,August,May,83
"Minnesota, University of",2023,,,,,,Semesters,,,,Public,06/01/2024,$60,07/15/2024,September,"December, May, and July",88
Mississippi College,2023,,,,,,Semesters,,,,Private,7/01/2024,0,8/01/2024,"June, July, August","August, December & May",90
"Mississippi, The University of",2023,,,,,,Semesters,,,,Public,May 1st,40,March 1,May and August,"May, August, and December",90
"Missouri, University of",2023,,,,,,Semesters,,,,Public,"March 1, 2024",$60,"March 1, 2024",August,"December, May, and July",89
"Missouri-Kansas City, University of",2023,,,,,,Semesters,,,,Public,"November 1, March 1, April 1  ",$60,February 1,"January, May or August","May, August and December  ",91
Mitchell/Hamline School of Law,2023,,,,,,Semesters,,,,Private,July 15,$0,August 1,August,January and May,86
"Montana, University of",2023,,,,,,Semesters,,,,Public,July 15,75,February 15,August,"December, May, & August",90
"Nebraska, University of",2023,,,,,,Semesters,,,,Public,March 1,$50,June 1,August,"August, December, May",93
"Nevada-Las Vegas, University of",2023,,,,,,Semesters,,,,Public,March 15,$50,March 15,August,"May, August, and December",89
New England Law/Boston,2023,,,,,,Semesters,,,,Private,"May 1, 2024",0,"March 15, 2024",August,May,86
"New Hampshire, University of",2023,,,,,,Semesters,,,,Public,Priority 3/15/2023; Final Deadline 7/15/2023,0,"March 1st, 2023",August,"May, September & December",85
"New Mexico, The University of",2023,,,,,,Semesters,,,,Public,March 1,50.00,March 1,August,May/December,86
New York Law School,2023,,,,,,Semesters,,,,Private,July 1,0,July 1,August,"February, June, and September",86
New York University,2023,,,,,,Semesters,,,,Private,February 15,$85,4/15,August,"September, January, May",83
North Carolina Central University,2023,,,,,,Semesters,,,,Public,April 30th,$50,April 30th,"June, August","December, May",88
"North Carolina, University of",2023,,,,,,Semesters,,,,Public,May 1,$75,"March 1, 2024",August,"May, August, December",86
"North Dakota, University of",2023,,,,,,Semesters,,,,Public,July 15,$35,2/1/2024; 3/1/2024,August,"May, August, December",90
"North Texas at Dallas, University of",2023,,,,,,Semesters,,,,Public,"March 15, 2024",0,"March 15, 2024",August,January/May,90
Northeastern University,2023,,,,,,Semesters,,,,Private,03/01/2024,0,2/15/2024,August,"May, September and December ",83
Northern Illinois University,2023,,,,,,Semesters,,,,Public,April 1,,July 1,August,"May, August, December",90
Northern Kentucky University,2023,,,,,,Semesters,,,,Public,No deadline,40.00,No deadline,May/August,May/August/December,90
Northwestern University,2023,,,,,,Semesters,,,,Private,2/15/2024,75,3/1/2024,August,January and June,85
"Notre Dame, University of",2023,,,,,,Semesters,,,,Private,March 15,$75,Feb 28,August,"May, August, January",90
Nova Southeastern University,2023,,,,,,Semesters,,,,Private,July 1,0,Priority- March 15 ,August,January and June ,90
Ohio Northern University,2023,,,,,,Semesters,,,,Private,August 1,,5/1/2024,August,December & May,90
Oklahoma City University,2023,,,,,,Semesters,,,,Private,July 15,$50.00,03/01/2024,May and August,"May, July, and December",90
"Oklahoma, University of",2023,,,,,,Semesters,,,,Public,March 15,50,June 1,"August, June","January, May, August",90
"Oregon, University of",2023,,,,,,Semesters,,,,Public,"March 1, 2023",0,"March 1, 2023",August,"May, July, August, & December",85
Pace University,2023,,,,,,Semesters,,,,Private,December 1 and June 1,70,November 15,August and January,"January, May, and September",88
"Pacific, University of the",2023,,,,,,Semesters,,,,Private,"2/1/2024 priority deadline, 6/1/2024 deadline",0,3/4/2024,August,"January, May, June, July, August, & December",88
Penn State Dickinson Law,2023,,,,,,Semesters,,,,Public,"June 30, 2024",$0,"Priority: 03-01-2024, accepted through 06-30-2024",August,"May, August and December",88
Penn State University,2023,,,,,,Semesters,,,,Public,3/31/2024,$60,3/1/2024; 4/15/2024,August,"December, May, and August",88
"Pennsylvania, University of",2023,,,,,,Semesters,,,,Private,March 1,$80.00,March 1,September,May; August; December,86
Pepperdine University,2023,,,,,,Semesters,,,,Private,04/01/2024,0,06/01/2024,"May, August","December, May, August",88
"Pittsburgh, University of",2023,,,,,,Semesters,,,,Public,May 1,$65,February 1 and April 15,August,"December, May, August",88
Pontifical Catholic University of Puerto Rico,2023,,,,,,Semesters,,,,Private,June/November 30 ,$75,Second Thursday September and February,August/January,December/May,94
"Puerto Rico, University of",2023,,,,,,Semesters,,,,Public,March 31,$30.00,June 28,August,June,92
Quinnipiac University,2023,,,,,,Semesters,,,,Private,March 1 (priority); August 1,$0,March 1 (priority),August,"May, July, December",86
Regent University,2023,,,,,,Semesters,,,,Private,"July 31, 2024",$65,"July 31, 2024",August,"May, August, December",90
"Richmond, University of",2023,,,,,,Semesters,,,,Private,March 1,0,July 1,August,"January, May, August",87
Roger Williams University,2023,,,,,,Semesters,,,,Private,April 1,60.00,March 15,August ,"May, August, December ",90
Rutgers University,2023,,,,,,Semesters,,,,Public,July 1,$0,,"June (Summer Jumpstart, Camden only) and August","January, May, October",84
Saint Louis University,2023,,,,,,Semesters,,,,Private,Rolling,0,02/01/2024,August,"May, August, December",91
Samford University,2023,,,,,,Semesters,,,,Private,May 1,$0,March 1,August,"April, August, and December",90
"San Diego, University of",2023,,,,,,Semesters,,,,Private,"December 1, February 1 and June 1",0,March 1,August,"May, August, December",88
"San Francisco, University of",2023,,,,,,Semesters,,,,Private,"February 1, 2024",$60,"March 1, 2024",August,"May, July, December",87
Santa Clara University,2023,,,,,,Semesters,,,,Private,"February 15, 2024",0,"March 1, 2024",August,"May, July, December",86
Seattle University,2023,,,,,,Semesters,,,,Private,,$65.00,,"June, August","August, December, May",90 
Seton Hall University,2023,,,,,,Semesters,,,,Private,April 1st,65,April 4th,August,"August, January, May, ",88
"South Carolina, University of",2023,,,,,,Semesters,,,,Public,"Priority deadline: March 1, 2024. Applications accepted through July 1, 2024",$60.00,"March 1, 2024",August,"May, August, December",90
"South Dakota, University of",2023,,,,,,Semesters,,,,Public,July 1,$35,July 1,August,"May, August, December",90
South Texas College of Law Houston,2023,,,,,,Semesters,,,,Private,5/10/2024 and 12/1/2024,55,5/1/2024,August and January,"May, July, and December",90
"Southern California, University of",2023,,,,,,Semesters,,,,Private,2/1 Priority. 4/1 Final. ,$75,March 1,August,May,88
Southern Illinois University,2023,,,,,,Semesters,,,,Public,"July 1, 2024",0,"June 30, 2025",August,"May, August, December",90
Southern Methodist University,2023,,,,,,Semesters,,,,Private,March 1,0,October 1 and April 15,"August only 1Ls; August, January, or May for transfer students","May, August, and December",87
Southern University,2023,,,,,,Semesters,,,,Public,May 1,$75.00,April 15,August,"May, July, & December",The credit hours vary from 90 - 103 hours
Southwestern Law School,2023,,,,,,Other (Specify),,,,Private,April 1,$60,April 1,June and August,"January, May, July, and December",87
St. John's University,2023,,,,,,Semesters,,,,Private,Priority Deadline - March 15,$0,Priority Deadline - March 1,August,"September, January, June",89
St. Mary's University,2023,,,,,,Semesters,,,,Private,Rolling admissions,$0,March 1,August,"August, December and May",90
St. Thomas University (Miami),2023,,,,,,Semesters,,,,Private,July 1,$40,June 1,"August, January","May, December",90
"St. Thomas, (Minneapolis) University of",2023,,,,,,Semesters,,,,Private,08/01/2024,0,07/01/2024,August,May,88
Stanford University,2023,,,,,,Quarters ,,,,Private,"February 15, 2024",$85,"March 15, 2024",September,"January, March, June, September",111
Stetson University,2023,,,,,,Semesters,,,,Private,May 15,55,August 1,August,"December, May, August",88
Suffolk University,2023,,,,,,Semesters,,,,Private,"4/1/2024, 4/1/2025",60,03/01/2024,May or August,"January, May, September",84
Syracuse University,2023,,,,,,Semesters,,,,Private,"July 15, 2023",$75.00,"February 1, 2023",August,"May, August, December",87
Temple University,2023,,,,,,Semesters,,,,Public,"March 1, 2024",$65,"March 1, 2024",August,"January, May, July",88
"Tennessee, University of",2023,,,,,,Semesters,,,,Public,"August 10, 2024",$35,"August 10, 2024",August,December and May,89
Texas A&M University,2023,,,,,,Semesters,,,,Public,"JD: May 31, JD Transfer: July 31",0,March 1 (Preferred Deadline),August,"May, August, December",90
Texas Southern University,2023,,,,,,Semesters,,,,Public,,$55,March 5th,August and January,January and June,90
Texas Tech University,2023,,,,,,Semesters,,,,Public,"May 1, 2024",0,"May 1, 2024",August,"May, July, December",90
"Texas, University of",2023,,,,,,Semesters,,,,Public,Early Decision: November 1; Regular Decision: March 1,$70,January 15,August,"May, August, December",86
The Ohio State University,2023,,,,,,Semesters,,,,Public,7/1,$60.00,3/31,August,May,88
"Toledo, The University of",2023,,,,,,Semesters,,,,Public,08/01/2024,0,08/01/2024,August ,"May, August & December ",89
Touro University,2023,,,,,,Semesters,,,,Private,"December 31st, July 31st",0,January 2 and August 1,January & August,"January, June, September",88
Tulane University,2023,,,,,,Semesters,,,,Private,August 1,$60,March 1,August,"January, May, July",88
"Tulsa, The University of",2023,,,,,,Semesters,,,,Private,Fall start deadline is 7/31; Summer start deadline is 4/22; Spring start deadline is 12/1,$40.00,July 1,"August, January, July","May, August, December",88
"Utah, The University of",2023,,,,,,Semesters,,,,Public,March 10,$60.00,April 1,August,"May, August, December",88
Vanderbilt University,2023,,,,,,Semesters,,,,Private,April 1,$70,February 1,August,May,88
Vermont Law School,2023,,,,,,Semesters,,,,Private,3/1/23 (Summer) and 4/15/23 (Fall),$60.00,"August 1, 2024",August,"May, October, January",87
Villanova University,2023,,,,,,Semesters,,,,Private,July 1,0,June 1,August,"September, December, May",90
"Virginia, University of",2023,,,,,,Semesters,,,,Public,03/01/2024,85,02/10/2024,August,"May, August, December",86
Wake Forest University,2023,,,,,,Semesters,,,,Private,"March 1, 2024",85,"July 1, 2024",August,"May, August, December",90
Washburn University,2023,,,,,,Semesters,,,,Public,"August 1, December 1",0.00,"August 1, December 1","August, January","May, July, August, December",90
Washington and Lee University,2023,,,,,,Semesters,,,,Private,March 1,,April 1 for returning students,August,"May, October, December",85
Washington University (St. Louis),2023,,,,,,Semesters,,,,Private,Rolling,$0.00,March 1,August,"May, August, December",86
"Washington, University of",2023,,,,,,Quarters ,,,,Public,03/15,$60,01/15/2024,September,"March, June, August, December",135
Wayne State University,2023,,,,,,Semesters,,,,Public,August 1,$0,March 15,August,"May, August, December",86
West Virginia University,2023,,,,,,Semesters,,,,Public,July 31,50,March 1,August,"May, August, December",91
Western New England University,2023,,,,,,Semesters,,,,Private,March 15,0,June 1,August,"May, August, December",88
"Western State, Westcliff University",2023,,,,,,Semesters,,,,Private,"December 1 (Spring), July 1 (Fall)",60,"October 15, April 1",August and January,"May, August, December",87
Widener University Commonwealth Law School,2023,,,,,,Semesters,,,,Private,July 1,$60,,August,"May, August, December",90
Widener University Delaware Law School,2023,,,,,,Semesters,,,,Private,May 15,Waived until February 1st; $60 thereafter,"April 1, 2024",August,"May, August, December",90
Willamette University,2023,,,,,,Semesters,,,,Private,August 15,0,March 1,August,"January, May, August ",90
William & Mary,2023,,,,,,Semesters,,,,Public,April 1,$85,February 15,August,"January, May, September ",86
"Wisconsin, University of",2023,,,,,,Semesters,,,,Public,"November 30, 2023 - Early Decision; April 1, 2024 - Regular Decision; July 1, 2024 - Transfer ",$60,"April 15, 2024",September,"December, May, August",90
"Wyoming, University of",2023,,,,,,Semesters,,,,Public,April 30,$50,Dec. 1,August,May,90
Yale University,2023,,,,,,Semesters,,,,Private,2/15,85,3/15,August,"February, April, May, June, September, December",83
"Akron, The University of",2024,,,,,,Semesters,,,,Public,3/31/2025 and 11/30/2025,0,3/31/2025 and 11/30/2025,"August, January, May",January and May,88
"Alabama, The University of",2024,,,,,,Semesters,,,,Public,,$40,,August,"May, August, December",90
Albany Law School,2024,,,,,,Semesters,,,,Private,December 31 and August 1,0,,August and January,"May, July and December",87
American University,2024,,,,,,Semesters,,,,Private,3/1,70,3/1,August,"May, August, December",86
Appalachian School of Law,2024,,,,,,Semesters,,,,Private,July 31 and December 31,0,July 31 and December 31,January or August,"May, August, and December",92
Arizona State University,2024,,,,,,Semesters,,,,Public,3/1,0,3/15/2025,"August, January","May, December, August",88
"Arizona, The University of",2024,,,,,,Semesters,,,,Public,"July 15, 2025",0,"March 1, 2024",August and January,"May, August, and December",88
"Arkansas at Little Rock, University of",2024,,,,,,Semesters,,,,Public,April 1,0,April 1,August,"May, August, December",90
"Arkansas, University of",2024,,,,,,Semesters,,,,Public,"April 1, 2025",0,"June 2, 2025",August,December and May,90
Atlanta's John Marshall Law School,2024,,,,,,Semesters,,,,Private,"July 23, 2025",0,"June 30, 2025",August ,May and December,88
Ave Maria School of Law,2024,,,,,,Semesters,,,,Private,"4/15 Summer Start, 7/15 Fall Start, 12/2 Spring Start",none,3/1,"August, January, May","January, May, August, December",90
"Baltimore, University of",2024,,,,,,Semesters,,,,Public,08/01/2024,$60,04/01/2024,August,"January, May, September",87
Barry University,2024,,,,,,Semesters,,,,Private,5/1/25,0,5/15/25,"August, January","May, August, December",90
Baylor University,2024,,,,,,Quarters,,,,Private,12/01/2024; 03/15/2025,0,03/01/2025,"August, February, May","November, February, April or May, July or August",126 quarter hours
Belmont University,2024,,,,,,Semesters,,,,Private,"May 1, 2025",$50,"August 1, 2025",August,May,90
Boston College,2024,,,,,,Semesters,,,,Private,March 31,$85.00,March 31,August,"May, August, December",85
Boston University,2024,,,,,,Semesters,,,,Private,"April 1, 2025",$85,"March 1, 2025",September,"August, January, May",85
Brigham Young University,2024,,,,,,Semesters,,,,Private,May 1,$0,May 1,August,"April, June, August, December",90
Brooklyn Law School,2024,,,,,,Semesters,,,,Private,Applications received by February 1 will receive priority review,,June 30,"May, August","August, December, May",85
"Buffalo, University at",2024,,,,,,Semesters,,,,Public,3/1/2025,$85,3/1/2025,"August, February","September, February, June",90
California Western School of Law,2024,,,,,,Semesters,,,,Private,7/31/25,0,3/3/25,August,"April, August, December",90
"California-Berkeley, University of",2024,,,,,,Semesters,,,,Public,"November 15, 2024 (binding early decision) and February 10, 2025 (regular decision)",$75.00,"March 15, 2025 (Financial Aid Priority) ",August,May and December,85
"California-Davis, University of",2024,,,,,,Semesters,,,,Public,"3/15 (priority deadline), 6/1 (final deadline)",0,3/2,August,December and May,88
"California-Irvine, University of",2024,,,,,,Semesters,,,,Public,3/31/2025,0,03/02/2025,"August, January","May, December",86
"California-Los Angeles, University of",2024,,,,,,Semesters,,,,Public,January 31,75,March 2,August,"December, May",87
"California-San Francisco, University of",2024,,,,,,Semesters,,,,Public,4/15,0,4/15,August,"May, December, August",86
Campbell University,2024,,,,,,Semesters,,,,Private,May 1,0,May 1,August,"May, August, and December",90
Capital University Law School,2024,,,,,,Semesters,,,,Private,July 4th,$0.00,July 1st,August,"January, May, September",89
"Cardozo, Yeshiva University",2024,,,,,,Semesters,,,,Private,April 1st,0,April 1st,May and August,"January, May and September ",84
Case Western Reserve University,2024,,,,,,Semesters,,,,Private,"March 1, April 1, and November 1",$40,May 1 and December 1,"January, June, August","January, May, August",88
"Catholic University of America, The",2024,,,,,,Semesters,,,,Private,"June 30, 2025",$0,"May 1, 2025; July 1, 2025; September 1, 2025",August,"August, January and May",87
Chapman University,2024,,,,,,Semesters,,,,Private,Priority Application Deadline - 4/15; Final Application Deadline - 7/15,$0,Priority Deadline for Financial Aid - 3/2,August for first year students. August and January for transfer students.,"January, June, September",88
Charleston School of Law,2024,,,,,,Semesters,,,,Private,March 1,0,July 1,August,"December, May, August",90
"Chicago, The University of",2024,,,,,,Quarters,,,,Private,"December 1, 2024 and March 1, 2025",$90.00,3/1/2025,September,"March, June, August, December",105
"Chicago-Kent, Illinois Institute of Technology",2024,,,,,,Semesters,,,,Private,March 15,0,April 1,"May, August","May, January, August",87
"Cincinnati, University of",2024,,,,,,Semesters,,,,Public,March 15th,$35,3/15/25,August,"May, August, December",90
"City University of New York, University of",2024,,,,,,Semesters,,,,Public,May 15,60.00,July 15,August,"May, August, January",86
Cleveland State University,2024,,,,,,Semesters,,,,Public,"July 1, 2025",$0,none,August,"December, May",90
"Colorado, University of",2024,,,,,,Semesters,,,,Public,"April 1, 2025",$65.00,no deadlines,August,"May, August, December",89
Columbia University,2024,,,,,,Semesters,,,,Private,11/15/2024,$85,03/01/2024,August / September ,October / May ,84
"Connecticut, University of",2024,,,,,,Semesters,,,,Public,April 30,$60,February 15,August,"January, May and July",86
Cooley Law School,2024,,,,,,Semesters,,,,Private,"5/1, 9/1",0,"1/1, 5/1, 9/1","September, January","September, January",90
Cornell University,2024,,,,,,Semesters,,,,Private,"January 1, March 1, August 1",$80,March 15,August,"May, August, December",84
Creighton University,2024,,,,,,Semesters,,,,Private,"Early admission: November 30, Application deadline: July 1; Scholarship Consideration: March 31",$50,May 1,"May, August","May, August, December",90
"Dayton, University of",2024,,,,,,Semesters,,,,Private,May 1 priority,$0,May 1 preferred,August,"January, May & August",90
"Denver, University of",2024,,,,,,Semesters,,,,Private,6/1/2025,$65,6/1/2025,August,"May, August, December",90
DePaul University,2024,,,,,,Semesters,,,,Private,4/1/25,$0,,August,"May, July, December",86
"Detroit Mercy, University of",2024,,,,,,Semesters,,,,Private,Aug 1,0,,August,"December, May, July",90
"District of Columbia, University of",2024,,,,,,Semesters,,,,Public,June 1 (1L); June 30 (transfers and visitors),$40 (1L); $50 (transfers and visitors),March 15,"August, January, or May","May, October, and January",86
Drake University,2024,,,,,,Semesters,,,,Private,April 1,0,April 1,August,Dec/May/Aug,90
Drexel University,2024,,,,,,Semesters,,,,Private,Rolling,$0,March 1                                                                                                                                                                         ,May and August,"May, September, and December",85
Duke University,2024,,,,,,Semesters,,,,Private,2/15,80,3/15,August,"May, September, December",85
